name,lang,center
Andhra Pradesh,Telugu,Hyderabad/Amravati
Arunachal Pradesh {AP},English,Itanagar
Assam,Assamese,Dispur
Bihar,Hindi,Patna
Chhattisgarh,Hindi,Raipur
Goa,Konkani,Panaji
Gujarat,Gujarati,Gandhinagar
Haryana,Hindi,Chandigarh
Himachal Pradesh {HP},Hindi,Shimla
Jammu & Kashmir {J&K},Urdu,Srinagar (Summer) Jammu (Winter)
Jharkhand,Hindi,Ranchi
Karnataka,Kannada,Bangalore
Kerala,Malayalam,Trivendrum
Madhya Pradesh {MP},Hindi,Bhopal
Maharashtra,Marathi,Mumbai
Manipur,Meiteilon (Manipuri),Imphal
Meghalaya,English,Shillong
Mizoram,"Mizo, English & Hindi",Aizawl
Nagaland,English,Kohima
Odisha,Odia,Bhubaneshwar
Punjab,Punjabi,Chandigarh
Rajasthan,Hindi,Jaipur
Sikkim,English,Gangtok
Tamil Nadu,Tamil,Chennai
Telangana,Telugu & Urdu,Hyderabad
Tripura,"Bengali, English & Kokborok",Agartala
Uttar Pradesh {UP},Hindi,Lucknow
Uttarakhand,Hindi,Dehradun
West Bengal {WB},Bengali,Kolkata
